"ID","Age","Gender","Accident_History","Risk_Score","Premium"
126,32,"Male",4,120,700
127,38,"Female",1,85,525
128,54,"Male",5,135,775
129,25,"Female",4,130,750
130,68,"Female",4,150,850
131,27,"Female",3,115,675
132,67,"Female",2,120,700
133,59,"Female",3,115,675
134,61,"Female",1,105,625
135,51,"Female",4,130,750
136,27,"Male",3,105,625
137,39,"Female",3,115,675
138,80,"Male",4,140,800
139,29,"Male",3,105,625
140,37,"Female",2,100,600
141,63,"Female",0,90,550
142,34,"Male",3,105,625
143,79,"Female",1,105,625
144,63,"Male",4,140,800
145,71,"Male",2,110,650
146,52,"Female",4,130,750
147,57,"Female",5,145,825
148,63,"Male",4,140,800
149,68,"Female",3,135,775
150,47,"Male",2,90,550
151,32,"Female",2,100,600
152,41,"Male",5,135,775
153,66,"Male",1,95,575
154,40,"Female",3,115,675
155,60,"Female",4,130,750
156,24,"Female",5,175,975
157,46,"Female",1,85,525
158,32,"Female",1,85,525
159,40,"Female",5,145,825
160,43,"Female",2,100,600
161,55,"Female",2,100,600
162,63,"Female",4,150,850
163,80,"Female",5,165,925
164,49,"Male",0,60,400
165,24,"Male",5,165,925
166,44,"Male",4,120,700
167,59,"Male",1,75,475
168,22,"Male",2,120,700
169,23,"Male",2,120,700
170,33,"Male",3,105,625
171,41,"Female",4,130,750
172,49,"Female",0,70,450
173,38,"Female",5,145,825
174,72,"Male",4,140,800
175,28,"Male",1,75,475
176,53,"Female",1,85,525
177,61,"Female",0,90,550
178,63,"Male",4,140,800
179,77,"Female",4,150,850
180,78,"Male",2,110,650
181,36,"Male",4,120,700
182,42,"Male",2,90,550
183,56,"Female",0,70,450
184,71,"Male",3,125,725
185,43,"Male",1,75,475
186,26,"Male",3,105,625
187,24,"Female",3,145,825
188,51,"Female",4,130,750
189,65,"Male",5,155,875
190,30,"Male",0,60,400
191,36,"Male",3,105,625
192,73,"Female",1,105,625
193,69,"Male",5,155,875
194,64,"Male",3,125,725
195,56,"Male",3,105,625
196,21,"Male",2,120,700
197,18,"Male",5,165,925
198,57,"Female",2,100,600
199,47,"Male",5,135,775
200,47,"Female",0,70,450
201,69,"Male",1,95,575
202,42,"Male",1,75,475
203,33,"Female",5,145,825
204,41,"Female",3,115,675
205,71,"Female",5,165,925
206,28,"Female",1,85,525
207,65,"Female",2,120,700
208,37,"Female",3,115,675
209,57,"Female",5,145,825
210,20,"Male",2,120,700
211,46,"Male",0,60,400
212,53,"Female",3,115,675
213,69,"Female",3,135,775
214,61,"Male",4,140,800
215,39,"Female",0,70,450
216,66,"Female",2,120,700
217,59,"Male",1,75,475
218,76,"Male",1,95,575
219,37,"Female",3,115,675
220,28,"Female",3,115,675
221,74,"Female",1,105,625
222,72,"Female",4,150,850
223,25,"Female",4,130,750
224,63,"Female",0,90,550
225,38,"Male",5,135,775
226,62,"Male",0,80,500
227,19,"Female",4,160,900
228,60,"Female",2,100,600
229,30,"Female",5,145,825
230,63,"Male",0,80,500
231,23,"Female",2,130,750
232,74,"Male",2,110,650
233,25,"Male",2,90,550
234,61,"Male",3,125,725
235,49,"Male",0,60,400
236,75,"Female",5,165,925
237,53,"Male",4,120,700
238,62,"Male",2,110,650
239,78,"Female",4,150,850
240,31,"Male",3,105,625
241,70,"Male",0,80,500
242,33,"Male",4,120,700
243,40,"Male",3,105,625
244,78,"Male",5,155,875
245,50,"Male",0,60,400
246,57,"Male",3,105,625
247,57,"Female",0,70,450
248,27,"Female",0,70,450
249,42,"Male",3,105,625
250,25,"Male",2,90,550
251,35,"Male",0,60,400
252,78,"Male",1,95,575
253,70,"Male",4,140,800
254,26,"Male",0,60,400
255,24,"Female",3,145,825
256,24,"Male",5,165,925
257,75,"Male",1,95,575
258,78,"Male",1,95,575
259,77,"Female",1,105,625
260,27,"Female",2,100,600
261,41,"Female",1,85,525
262,80,"Male",4,140,800
263,71,"Female",0,90,550
264,40,"Female",0,70,450
265,43,"Male",1,75,475
266,60,"Male",2,90,550
267,50,"Female",3,115,675
268,74,"Female",1,105,625
269,78,"Female",5,165,925
270,46,"Female",5,145,825
271,68,"Female",3,135,775
272,27,"Female",3,115,675
273,70,"Female",0,90,550
274,71,"Female",2,120,700
275,30,"Male",2,90,550
276,60,"Male",3,105,625
277,28,"Female",1,85,525
278,42,"Male",1,75,475
279,69,"Female",0,90,550
280,43,"Male",1,75,475
281,24,"Male",0,90,550
282,42,"Female",2,100,600
283,40,"Female",1,85,525
284,43,"Male",2,90,550
285,49,"Female",5,145,825
286,37,"Male",0,60,400
287,78,"Male",0,80,500
288,41,"Female",0,70,450
289,74,"Female",5,165,925
290,26,"Female",4,130,750
291,58,"Female",5,145,825
292,54,"Female",0,70,450
293,40,"Female",0,70,450
294,31,"Male",3,105,625
295,63,"Male",2,110,650
296,23,"Female",1,115,675
297,44,"Male",5,135,775
298,18,"Male",1,105,625
299,43,"Female",3,115,675
300,59,"Male",0,60,400
301,66,"Male",0,80,500
302,75,"Female",3,135,775
303,34,"Male",0,60,400
304,46,"Male",0,60,400
305,43,"Female",4,130,750
306,44,"Female",5,145,825
307,38,"Male",0,60,400
308,24,"Female",1,115,675
309,77,"Female",2,120,700
310,70,"Female",4,150,850
311,43,"Male",2,90,550
312,58,"Female",0,70,450
313,37,"Female",1,85,525
314,23,"Female",4,160,900
315,67,"Female",2,120,700
316,47,"Male",0,60,400
317,48,"Male",1,75,475
318,46,"Male",1,75,475
319,34,"Male",3,105,625
320,54,"Male",5,135,775
321,74,"Female",3,135,775
322,37,"Female",2,100,600
323,52,"Male",3,105,625
324,42,"Male",2,90,550
325,63,"Female",3,135,775
326,50,"Female",4,130,750
327,19,"Male",1,105,625
328,21,"Male",5,165,925
329,27,"Female",4,130,750
330,50,"Female",4,130,750
331,22,"Male",4,150,850
332,70,"Male",5,155,875
333,42,"Male",2,90,550
334,25,"Male",2,90,550
335,72,"Male",3,125,725
336,42,"Female",2,100,600
337,38,"Female",4,130,750
338,62,"Male",0,80,500
339,35,"Male",2,90,550
340,59,"Female",0,70,450
341,48,"Male",0,60,400
342,23,"Male",0,90,550
343,24,"Male",3,135,775
344,78,"Male",2,110,650
345,58,"Male",3,105,625
346,65,"Female",1,105,625
347,34,"Female",1,85,525
348,70,"Male",3,125,725
349,62,"Male",1,95,575
350,45,"Male",5,135,775
351,80,"Female",1,105,625
352,70,"Female",2,120,700
353,57,"Female",1,85,525
354,70,"Male",3,125,725
355,80,"Male",2,110,650
356,24,"Female",1,115,675
357,37,"Male",0,60,400
358,35,"Female",0,70,450
359,46,"Male",4,120,700
360,34,"Male",1,75,475
361,50,"Male",5,135,775
362,19,"Female",1,115,675
363,66,"Female",0,90,550
364,19,"Male",2,120,700
365,30,"Male",3,105,625
366,41,"Male",1,75,475
367,66,"Female",5,165,925
368,80,"Male",1,95,575
369,20,"Female",4,160,900
370,35,"Female",1,85,525
371,19,"Female",2,130,750
372,54,"Male",4,120,700
373,80,"Female",2,120,700
374,29,"Female",2,100,600
375,74,"Male",1,95,575
376,30,"Male",2,90,550
377,59,"Male",2,90,550
378,78,"Male",5,155,875
379,23,"Female",0,100,600
380,59,"Male",0,60,400
381,59,"Male",4,120,700
382,55,"Male",2,90,550
383,77,"Male",1,95,575
384,65,"Male",3,125,725
385,33,"Female",4,130,750
386,52,"Female",0,70,450
387,53,"Male",4,120,700
388,44,"Female",2,100,600
389,44,"Female",4,130,750
390,52,"Male",1,75,475
391,78,"Male",0,80,500
392,40,"Male",5,135,775
393,20,"Male",4,150,850
394,48,"Female",3,115,675
395,65,"Male",5,155,875
396,19,"Female",1,115,675
397,64,"Male",5,155,875
398,40,"Male",2,90,550
399,20,"Female",2,130,750
400,26,"Female",5,145,825
401,78,"Female",3,135,775
402,56,"Female",1,85,525
403,47,"Male",5,135,775
404,48,"Female",3,115,675
405,47,"Female",0,70,450
406,26,"Female",2,100,600
407,53,"Female",0,70,450
408,51,"Male",5,135,775
409,39,"Female",2,100,600
410,75,"Female",5,165,925
411,61,"Male",1,95,575
412,58,"Female",0,70,450
413,45,"Male",5,135,775
414,46,"Male",3,105,625
415,78,"Male",2,110,650
416,60,"Male",1,75,475
417,56,"Male",2,90,550
418,62,"Female",3,135,775
419,54,"Male",5,135,775
420,60,"Female",0,70,450
421,50,"Female",4,130,750
422,36,"Male",5,135,775
423,29,"Male",1,75,475
424,51,"Female",4,130,750
425,38,"Female",4,130,750
426,34,"Male",0,60,400
427,80,"Male",2,110,650
428,29,"Male",4,120,700
429,47,"Male",3,105,625
430,52,"Male",1,75,475
431,47,"Female",2,100,600
432,42,"Male",2,90,550
433,67,"Male",2,110,650
434,64,"Male",5,155,875
435,71,"Male",4,140,800
436,20,"Female",2,130,750
437,68,"Female",5,165,925
438,74,"Female",4,150,850
439,35,"Male",4,120,700
440,49,"Female",1,85,525
441,34,"Male",5,135,775
442,55,"Male",3,105,625
443,59,"Male",5,135,775
444,57,"Male",5,135,775
445,59,"Male",1,75,475
446,49,"Female",4,130,750
447,43,"Female",3,115,675
448,30,"Male",3,105,625
449,37,"Male",2,90,550
450,55,"Female",2,100,600
451,37,"Male",5,135,775
452,46,"Female",1,85,525
453,37,"Female",0,70,450
454,47,"Female",4,130,750
455,58,"Male",2,90,550
456,65,"Male",2,110,650
457,25,"Female",5,145,825
458,56,"Male",4,120,700
459,27,"Female",4,130,750
460,34,"Male",0,60,400
461,80,"Female",0,90,550
462,35,"Male",4,120,700
463,57,"Male",3,105,625
464,68,"Female",1,105,625
465,59,"Female",0,70,450
466,72,"Female",1,105,625
467,28,"Female",1,85,525
468,66,"Female",2,120,700
469,61,"Male",4,140,800
470,19,"Female",4,160,900
471,36,"Male",5,135,775
472,30,"Female",3,115,675
473,30,"Male",5,135,775
474,48,"Female",4,130,750
475,47,"Male",1,75,475
476,68,"Male",0,80,500
477,39,"Female",2,100,600
478,47,"Female",0,70,450
479,27,"Male",1,75,475
480,33,"Female",1,85,525
481,22,"Male",3,135,775
482,53,"Male",3,105,625
483,67,"Male",0,80,500
484,50,"Male",3,105,625
485,33,"Female",3,115,675
486,45,"Male",0,60,400
487,66,"Female",2,120,700
488,29,"Female",1,85,525
489,70,"Female",2,120,700
490,45,"Female",2,100,600
491,19,"Female",4,160,900
492,67,"Female",0,90,550
493,29,"Male",4,120,700
494,64,"Female",4,150,850
495,68,"Female",5,165,925
496,70,"Female",1,105,625
497,23,"Male",0,90,550
498,33,"Male",3,105,625
499,75,"Female",4,150,850
500,32,"Male",1,75,475
501,36,"Male",4,120,700
502,76,"Male",5,155,875
503,20,"Female",4,160,900
504,63,"Female",0,90,550
505,50,"Female",1,85,525
506,73,"Male",4,140,800
507,50,"Male",2,90,550
508,65,"Male",3,125,725
509,28,"Female",4,130,750
510,53,"Male",2,90,550
511,73,"Female",0,90,550
512,61,"Female",2,120,700
513,62,"Female",5,165,925
514,27,"Male",5,135,775
515,59,"Male",1,75,475
516,41,"Male",3,105,625
517,45,"Male",3,105,625
518,56,"Female",4,130,750
519,35,"Female",5,145,825
520,34,"Female",0,70,450
521,37,"Male",3,105,625
522,76,"Female",3,135,775
523,26,"Female",0,70,450
524,70,"Female",3,135,775
525,28,"Female",2,100,600
526,61,"Female",2,120,700
527,25,"Male",4,120,700
528,67,"Male",4,140,800
529,22,"Female",0,100,600
530,46,"Female",3,115,675
531,67,"Female",0,90,550
532,23,"Female",2,130,750
533,27,"Male",3,105,625
534,43,"Male",1,75,475
535,26,"Male",0,60,400
536,28,"Male",1,75,475
537,72,"Male",4,140,800
538,23,"Female",2,130,750
539,49,"Female",0,70,450
540,29,"Male",3,105,625
541,36,"Female",4,130,750
542,44,"Female",5,145,825
543,73,"Male",3,125,725
544,49,"Female",3,115,675
545,44,"Female",1,85,525
546,47,"Male",0,60,400
547,72,"Female",2,120,700
548,21,"Male",2,120,700
549,41,"Female",4,130,750
550,45,"Male",2,90,550
551,20,"Male",4,150,850
552,63,"Female",1,105,625
553,57,"Female",0,70,450
554,23,"Female",1,115,675
555,53,"Male",4,120,700
556,72,"Male",3,125,725
557,59,"Male",5,135,775
558,65,"Male",1,95,575
559,76,"Female",3,135,775
560,73,"Female",5,165,925
561,47,"Female",2,100,600
562,65,"Female",3,135,775
563,69,"Female",5,165,925
564,27,"Male",5,135,775
565,42,"Female",2,100,600
566,55,"Male",0,60,400
567,68,"Male",2,110,650
568,53,"Female",4,130,750
569,58,"Male",4,120,700
570,42,"Male",1,75,475
571,21,"Male",4,150,850
572,32,"Female",0,70,450
573,69,"Female",5,165,925
574,39,"Male",3,105,625
575,70,"Male",0,80,500
576,66,"Male",2,110,650
577,41,"Male",1,75,475
578,56,"Male",5,135,775
579,64,"Female",2,120,700
580,77,"Male",1,95,575
581,80,"Male",0,80,500
582,54,"Female",2,100,600
583,63,"Female",4,150,850
584,71,"Female",4,150,850
585,64,"Female",2,120,700
586,32,"Female",4,130,750
587,33,"Male",0,60,400
588,36,"Female",0,70,450
589,25,"Female",5,145,825
590,48,"Male",0,60,400
591,75,"Female",0,90,550
592,54,"Male",4,120,700
593,56,"Female",4,130,750
594,69,"Male",4,140,800
595,65,"Female",3,135,775
596,77,"Male",3,125,725
597,79,"Female",3,135,775
598,33,"Male",4,120,700
599,26,"Female",0,70,450
600,28,"Female",1,85,525
601,60,"Male",2,90,550
602,68,"Female",2,120,700
603,47,"Female",4,130,750
604,78,"Male",3,125,725
605,27,"Male",4,120,700
606,72,"Female",1,105,625
607,78,"Male",3,125,725
608,51,"Male",0,60,400
609,74,"Female",1,105,625
610,79,"Female",5,165,925
611,55,"Male",5,135,775
612,37,"Female",3,115,675
613,80,"Female",0,90,550
614,63,"Female",0,90,550
615,31,"Male",4,120,700
616,23,"Male",0,90,550
617,35,"Male",0,60,400
618,19,"Female",1,115,675
619,73,"Female",4,150,850
620,25,"Male",4,120,700
621,28,"Female",2,100,600
622,38,"Female",5,145,825
623,74,"Female",2,120,700
624,24,"Male",3,135,775
625,68,"Male",0,80,500
626,40,"Male",5,135,775
627,25,"Male",4,120,700
628,76,"Female",5,165,925
629,27,"Female",1,85,525
630,54,"Male",4,120,700
631,34,"Male",3,105,625
632,72,"Female",0,90,550
633,23,"Male",4,150,850
634,57,"Female",5,145,825
635,69,"Female",4,150,850
636,23,"Male",1,105,625
637,64,"Female",4,150,850
638,45,"Male",5,135,775
639,49,"Female",2,100,600
640,66,"Female",2,120,700
641,52,"Female",4,130,750
642,45,"Male",0,60,400
643,64,"Female",5,165,925
644,37,"Male",4,120,700
645,18,"Female",5,175,975
646,22,"Male",0,90,550
647,28,"Male",4,120,700
648,64,"Female",4,150,850
649,37,"Male",5,135,775
650,19,"Male",1,105,625
651,79,"Male",3,125,725
652,65,"Female",3,135,775
653,80,"Male",2,110,650
654,79,"Male",0,80,500
655,72,"Male",4,140,800
656,68,"Female",1,105,625
657,27,"Male",0,60,400
658,68,"Female",3,135,775
659,76,"Male",0,80,500
660,66,"Male",4,140,800
661,24,"Male",1,105,625
662,78,"Male",4,140,800
663,55,"Male",0,60,400
664,61,"Male",4,140,800
665,53,"Male",4,120,700
666,70,"Female",5,165,925
667,40,"Female",5,145,825
668,68,"Male",0,80,500
669,51,"Female",3,115,675
670,41,"Male",5,135,775
671,21,"Male",3,135,775
672,71,"Male",1,95,575
673,46,"Male",4,120,700
674,75,"Female",1,105,625
675,40,"Female",3,115,675
676,76,"Female",1,105,625
677,28,"Male",0,60,400
678,71,"Male",0,80,500
679,50,"Female",2,100,600
680,71,"Male",1,95,575
681,73,"Male",5,155,875
682,68,"Male",3,125,725
683,67,"Male",1,95,575
684,76,"Female",0,90,550
685,65,"Male",5,155,875
686,20,"Female",4,160,900
687,50,"Female",2,100,600
688,47,"Female",2,100,600
689,51,"Female",1,85,525
690,19,"Female",4,160,900
691,57,"Male",4,120,700
692,75,"Female",3,135,775
693,37,"Male",0,60,400
694,31,"Male",2,90,550
695,42,"Female",1,85,525
696,62,"Male",2,110,650
697,24,"Female",0,100,600
698,57,"Male",2,90,550
699,78,"Male",4,140,800
700,52,"Male",1,75,475
701,48,"Male",2,90,550
702,39,"Female",5,145,825
703,33,"Female",0,70,450
704,76,"Female",3,135,775
705,39,"Female",2,100,600
706,46,"Female",1,85,525
707,73,"Female",2,120,700
708,50,"Male",4,120,700
709,61,"Female",2,120,700
710,67,"Male",4,140,800
711,70,"Female",3,135,775
712,48,"Female",2,100,600
713,63,"Male",5,155,875
714,25,"Female",3,115,675
715,41,"Male",5,135,775
716,77,"Male",3,125,725
717,47,"Female",4,130,750
718,40,"Female",4,130,750
719,54,"Male",1,75,475
720,49,"Male",3,105,625
721,34,"Female",0,70,450
722,43,"Male",1,75,475
723,76,"Female",5,165,925
724,74,"Female",1,105,625
725,74,"Male",2,110,650
726,60,"Female",3,115,675
727,40,"Male",1,75,475
728,43,"Male",2,90,550
729,53,"Female",1,85,525
730,62,"Female",4,150,850
731,25,"Female",4,130,750
732,32,"Male",4,120,700
733,80,"Female",3,135,775
734,76,"Male",1,95,575
735,53,"Male",2,90,550
736,62,"Female",3,135,775
737,20,"Male",1,105,625
738,56,"Male",1,75,475
739,50,"Female",4,130,750
740,55,"Male",3,105,625
741,62,"Male",5,155,875
742,43,"Female",4,130,750
743,45,"Male",1,75,475
744,43,"Male",2,90,550
745,34,"Female",0,70,450
746,40,"Male",2,90,550
747,70,"Male",2,110,650
748,55,"Female",4,130,750
749,27,"Female",0,70,450
750,62,"Female",5,165,925
751,55,"Female",2,100,600
752,58,"Male",0,60,400
753,25,"Female",4,130,750
754,18,"Male",3,135,775
755,33,"Male",3,105,625
756,71,"Female",0,90,550
757,19,"Male",4,150,850
758,57,"Male",0,60,400
759,31,"Female",2,100,600
760,29,"Female",2,100,600
761,43,"Female",3,115,675
762,25,"Female",3,115,675
763,80,"Male",2,110,650
764,58,"Male",2,90,550
765,25,"Male",1,75,475
766,74,"Male",2,110,650
767,26,"Female",4,130,750
768,69,"Male",0,80,500
769,50,"Male",5,135,775
770,20,"Male",4,150,850
771,57,"Female",2,100,600
772,19,"Female",1,115,675
773,18,"Male",4,150,850
774,26,"Female",2,100,600
775,72,"Male",4,140,800
776,24,"Male",0,90,550
777,30,"Female",3,115,675
778,46,"Female",3,115,675
779,37,"Male",2,90,550
780,31,"Male",1,75,475
781,77,"Male",3,125,725
782,33,"Female",0,70,450
783,24,"Female",3,145,825
784,53,"Male",2,90,550
785,62,"Female",1,105,625
786,29,"Female",3,115,675
787,42,"Female",4,130,750
788,44,"Female",1,85,525
789,30,"Male",2,90,550
790,37,"Female",5,145,825
791,27,"Male",2,90,550
792,47,"Female",4,130,750
793,80,"Male",4,140,800
794,58,"Female",3,115,675
795,29,"Male",5,135,775
796,25,"Male",1,75,475
797,24,"Female",0,100,600
798,74,"Male",0,80,500
799,32,"Female",4,130,750
800,36,"Male",3,105,625
801,66,"Female",3,135,775
802,60,"Male",3,105,625
803,56,"Female",0,70,450
804,68,"Female",0,90,550
805,80,"Male",5,155,875
806,40,"Female",1,85,525
807,75,"Female",2,120,700
808,52,"Male",0,60,400
809,23,"Male",3,135,775
810,24,"Male",3,135,775
811,21,"Male",1,105,625
812,27,"Male",2,90,550
813,34,"Female",0,70,450
814,65,"Female",2,120,700
815,25,"Male",2,90,550
816,70,"Male",0,80,500
817,20,"Male",3,135,775
818,61,"Female",2,120,700
819,70,"Male",0,80,500
820,63,"Male",3,125,725
821,54,"Female",3,115,675
822,31,"Female",0,70,450
823,45,"Female",4,130,750
824,23,"Male",2,120,700
825,26,"Male",0,60,400
826,50,"Male",5,135,775
827,69,"Female",4,150,850
828,63,"Male",0,80,500
829,36,"Female",0,70,450
830,54,"Male",3,105,625
831,51,"Male",2,90,550
832,18,"Female",3,145,825
833,45,"Female",5,145,825
834,69,"Female",3,135,775
835,47,"Male",4,120,700
836,21,"Female",5,175,975
837,76,"Female",5,165,925
838,43,"Female",2,100,600
839,75,"Female",1,105,625
840,28,"Male",2,90,550
841,22,"Female",4,160,900
842,71,"Female",3,135,775
843,53,"Male",3,105,625
844,36,"Female",2,100,600
845,52,"Female",4,130,750
846,50,"Female",3,115,675
847,56,"Female",1,85,525
848,22,"Male",3,135,775
849,78,"Male",0,80,500
850,40,"Male",1,75,475
851,58,"Female",0,70,450
852,42,"Male",0,60,400
853,80,"Male",4,140,800
854,73,"Female",4,150,850
855,66,"Female",2,120,700
856,38,"Male",4,120,700
857,22,"Male",5,165,925
858,73,"Male",4,140,800
859,29,"Female",2,100,600
860,19,"Female",4,160,900
861,71,"Female",5,165,925
862,35,"Male",0,60,400
863,21,"Female",5,175,975
864,59,"Female",1,85,525
865,64,"Female",3,135,775
866,40,"Female",2,100,600
867,71,"Female",5,165,925
868,25,"Female",4,130,750
869,18,"Female",2,130,750
870,73,"Male",4,140,800
871,28,"Male",2,90,550
872,54,"Male",3,105,625
873,28,"Male",0,60,400
874,32,"Male",1,75,475
875,32,"Female",3,115,675
876,74,"Male",1,95,575
877,73,"Male",3,125,725
878,59,"Male",3,105,625
879,32,"Male",1,75,475
880,32,"Male",5,135,775
881,69,"Male",5,155,875
882,61,"Male",2,110,650
883,58,"Male",3,105,625
884,78,"Female",1,105,625
885,42,"Male",5,135,775
886,53,"Male",3,105,625
887,20,"Male",2,120,700
888,24,"Male",5,165,925
889,21,"Male",4,150,850
890,73,"Male",1,95,575
891,57,"Male",5,135,775
892,70,"Female",5,165,925
893,54,"Female",3,115,675
894,41,"Male",0,60,400
895,55,"Male",3,105,625
896,21,"Female",4,160,900
897,20,"Male",3,135,775
898,28,"Male",2,90,550
899,27,"Female",0,70,450
900,46,"Male",1,75,475
901,40,"Female",4,130,750
902,22,"Male",4,150,850
903,41,"Female",4,130,750
904,49,"Male",4,120,700
905,42,"Male",5,135,775
906,28,"Female",3,115,675
907,27,"Female",5,145,825
908,32,"Male",2,90,550
909,68,"Female",3,135,775
910,77,"Male",2,110,650
911,48,"Female",5,145,825
912,27,"Female",0,70,450
913,62,"Male",3,125,725
914,76,"Female",3,135,775
915,41,"Male",3,105,625
916,52,"Male",5,135,775
917,67,"Female",3,135,775
918,27,"Male",2,90,550
919,25,"Male",5,135,775
920,61,"Female",5,165,925
921,59,"Male",1,75,475
922,49,"Male",1,75,475
923,56,"Female",5,145,825
924,24,"Female",2,130,750
925,55,"Female",5,145,825
926,34,"Male",2,90,550
927,37,"Male",4,120,700
928,50,"Male",0,60,400
929,54,"Male",5,135,775
930,27,"Female",0,70,450
931,62,"Female",3,135,775
932,27,"Female",2,100,600
933,19,"Female",1,115,675
934,32,"Female",3,115,675
935,40,"Female",4,130,750
936,64,"Male",1,95,575
937,57,"Female",1,85,525
938,52,"Female",2,100,600
939,19,"Female",1,115,675
940,23,"Male",2,120,700
941,63,"Female",5,165,925
942,76,"Male",5,155,875
943,64,"Female",3,135,775
944,68,"Male",3,125,725
945,26,"Female",0,70,450
946,40,"Male",3,105,625
947,42,"Male",4,120,700
948,32,"Male",3,105,625
949,39,"Male",1,75,475
950,65,"Female",5,165,925
951,25,"Male",2,90,550
952,46,"Female",5,145,825
953,58,"Female",3,115,675
954,38,"Female",3,115,675
955,72,"Female",3,135,775
956,65,"Male",1,95,575
957,26,"Male",1,75,475
958,51,"Male",5,135,775
959,73,"Female",1,105,625
960,58,"Male",1,75,475
961,60,"Male",2,90,550
962,73,"Female",0,90,550
963,28,"Male",4,120,700
964,21,"Male",4,150,850
965,24,"Female",0,100,600
966,73,"Male",4,140,800
967,67,"Female",0,90,550
968,77,"Male",0,80,500
969,28,"Female",4,130,750
970,71,"Male",5,155,875
971,50,"Female",3,115,675
972,28,"Female",5,145,825
973,77,"Male",5,155,875
974,75,"Female",1,105,625
975,55,"Male",3,105,625
976,38,"Male",0,60,400
977,27,"Male",2,90,550
978,74,"Female",2,120,700
979,67,"Female",2,120,700
980,20,"Male",1,105,625
981,52,"Female",3,115,675
982,51,"Female",2,100,600
983,75,"Male",5,155,875
984,57,"Female",0,70,450
985,45,"Male",4,120,700
986,30,"Male",5,135,775
987,25,"Male",5,135,775
988,19,"Male",1,105,625
989,76,"Female",4,150,850
990,23,"Female",4,160,900
991,40,"Male",2,90,550
992,34,"Male",4,120,700
993,49,"Male",3,105,625
994,31,"Female",4,130,750
995,24,"Male",2,120,700
